skuId,sizeLabel,suggestedFilename,pasteInto_skuImageUrl
shahi-dry-fruit-1kg,1 Kg,shahi-dry-fruit-1kg.jpg,/images/products/glaze-gel/shahi-dry-fruit-1kg.jpg
shahi-dry-fruit-2-5kg,2.5 Kg,shahi-dry-fruit-2-5kg.jpg,/images/products/glaze-gel/shahi-dry-fruit-2-5kg.jpg
cashew-glaze-1kg,1 Kg,cashew-glaze-1kg.jpg,/images/products/glaze-gel/cashew-glaze-1kg.jpg
cashew-glaze-2-5kg,2.5 Kg,cashew-glaze-2-5kg.jpg,/images/products/glaze-gel/cashew-glaze-2-5kg.jpg
blueberry-2-5kg,2.5 Kg,blueberry-2-5kg.jpg,/images/products/glaze-gel/blueberry-2-5kg.jpg
mango-1kg,1 Kg,mango-1kg.jpg,/images/products/glaze-gel/mango-1kg.jpg
mango-2-5kg,2.5 Kg,mango-2-5kg.jpg,/images/products/glaze-gel/mango-2-5kg.jpg
butterscotch-1kg,1 Kg,butterscotch-1kg.jpg,/images/products/glaze-gel/butterscotch-1kg.jpg
butterscotch-2-5kg,2.5 Kg,butterscotch-2-5kg.jpg,/images/products/glaze-gel/butterscotch-2-5kg.jpg
blackcurrant-2-5kg,2.5 Kg,blackcurrant-2-5kg.jpg,/images/products/glaze-gel/blackcurrant-2-5kg.jpg
kiwi-1kg,1 Kg,kiwi-1kg.jpg,/images/products/glaze-gel/kiwi-1kg.jpg
kiwi-2-5kg,2.5 Kg,kiwi-2-5kg.jpg,/images/products/glaze-gel/kiwi-2-5kg.jpg
strawberry-2-5kg,2.5 Kg,strawberry-2-5kg.jpg,/images/products/glaze-gel/strawberry-2-5kg.jpg
caramel-1kg,1 Kg,caramel-1kg.jpg,/images/products/glaze-gel/caramel-1kg.jpg
caramel-2-5kg,2.5 Kg,caramel-2-5kg.jpg,/images/products/glaze-gel/caramel-2-5kg.jpg
pineapple-1kg,1 Kg,pineapple-1kg.jpg,/images/products/glaze-gel/pineapple-1kg.jpg
pineapple-2-5kg,2.5 Kg,pineapple-2-5kg.jpg,/images/products/glaze-gel/pineapple-2-5kg.jpg
cocoa-1kg,1 Kg,cocoa-1kg.jpg,/images/products/glaze-gel/cocoa-1kg.jpg
cocoa-2-5kg,2.5 Kg,cocoa-2-5kg.jpg,/images/products/glaze-gel/cocoa-2-5kg.jpg
white-1kg,1 Kg,white-1kg.jpg,/images/products/glaze-gel/white-1kg.jpg
white-2-5kg,2.5 Kg,white-2-5kg.jpg,/images/products/glaze-gel/white-2-5kg.jpg
neutral-250gm,250 gm,neutral-250gm.jpg,/images/products/glaze-gel/neutral-250gm.jpg
neutral-1kg,1 Kg,neutral-1kg.jpg,/images/products/glaze-gel/neutral-1kg.jpg
neutral-2-5kg,2.5 Kg,neutral-2-5kg.jpg,/images/products/glaze-gel/neutral-2-5kg.jpg
orange-1kg,1 Kg,orange-1kg.jpg,/images/products/glaze-gel/orange-1kg.jpg
orange-2-5kg,2.5 Kg,orange-2-5kg.jpg,/images/products/glaze-gel/orange-2-5kg.jpg
