flavorId,flavorSortOrder,flavorName,flavorBackgroundColor,flavorTagline,flavorDescription,featuredOnPage,flavorImageUrl,skuId,skuSortOrder,sizeLabel,skuImageUrl
shahi-dry-fruit,1,Shahi Dry Fruit,#F0E4C8,A royal dry fruit touch to your creations,,true,/images/products/glaze-gel/gg-sahi-dry-fruit-2.5.png,shahi-dry-fruit-1kg,1,1 Kg,
shahi-dry-fruit,1,Shahi Dry Fruit,#F0E4C8,A royal dry fruit touch to your creations,,true,/images/products/glaze-gel/gg-sahi-dry-fruit-2.5.png,shahi-dry-fruit-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-sahi-dry-fruit-2.5.png
cashew-glaze,2,Cashew Glaze,#F5E6D3,Richness of cashews in every slice,,true,/images/products/glaze-gel/gg-cashew-2.5.png,cashew-glaze-1kg,1,1 Kg,
cashew-glaze,2,Cashew Glaze,#F5E6D3,Richness of cashews in every slice,,true,/images/products/glaze-gel/gg-cashew-2.5.png,cashew-glaze-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-cashew-2.5.png
blueberry,3,Blueberry,#D6E4F0,,,false,/images/products/glaze-gel/gg-blueberry-2.5.png,blueberry-2-5kg,1,2.5 Kg,/images/products/glaze-gel/gg-blueberry-2.5.png
blueberry,3,Blueberry,#D6E4F0,,,false,/images/products/glaze-gel/gg-blueberry-2.5.png,blueberry-1kg,2,1 Kg,
mango,4,Mango,#FFE0B2,,,false,/images/products/glaze-gel/gg-mango-2.5.png,mango-1kg,1,1 Kg,
mango,4,Mango,#FFE0B2,,,false,/images/products/glaze-gel/gg-mango-2.5.png,mango-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-mango-2.5.png
butterscotch,5,Butterscotch,#F5D6A8,,,false,/images/products/glaze-gel/gg-butterscotch-2.5.png,butterscotch-1kg,1,1 Kg,
butterscotch,5,Butterscotch,#F5D6A8,,,false,/images/products/glaze-gel/gg-butterscotch-2.5.png,butterscotch-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-butterscotch-2.5.png
blackcurrant,6,Blackcurrant,#E4D4F0,,,false,/images/products/glaze-gel/gg-blackcurrant-2.5.png,blackcurrant-2-5kg,1,2.5 Kg,/images/products/glaze-gel/gg-blackcurrant-2.5.png
kiwi,7,Kiwi,#DCEED6,,,false,/images/products/glaze-gel/gg-kiwi-2.5.png,kiwi-1kg,1,1 Kg,
kiwi,7,Kiwi,#DCEED6,,,false,/images/products/glaze-gel/gg-kiwi-2.5.png,kiwi-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-kiwi-2.5.png
strawberry,8,Strawberry,#F8D7E0,,,false,/images/products/glaze-gel/gg-strawberry-2.5.png,strawberry-2-5kg,1,2.5 Kg,/images/products/glaze-gel/gg-strawberry-2.5.png
caramel,9,Caramel,#E6C9A8,,,false,/images/products/glaze-gel/gg-caramel-2.5.png,caramel-1kg,1,1 Kg,
caramel,9,Caramel,#E6C9A8,,,false,/images/products/glaze-gel/gg-caramel-2.5.png,caramel-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-caramel-2.5.png
pineapple,10,Pineapple,#FFECB3,,,false,,pineapple-1kg,1,1 Kg,
pineapple,10,Pineapple,#FFECB3,,,false,,pineapple-2-5kg,2,2.5 Kg,
cocoa,11,Cocoa,#D7CCC8,,,false,/images/products/glaze-gel/gg-cocoa-2.5.png,cocoa-1kg,1,1 Kg,
cocoa,11,Cocoa,#D7CCC8,,,false,/images/products/glaze-gel/gg-cocoa-2.5.png,cocoa-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-cocoa-2.5.png
white,12,White,#F5F5F0,,,false,/images/products/glaze-gel/gg-white-2.5.png,white-1kg,1,1 Kg,
white,12,White,#F5F5F0,,,false,/images/products/glaze-gel/gg-white-2.5.png,white-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-white-2.5.png
neutral,13,Neutral,#EFEBE4,,,false,/images/products/glaze-gel/gg-neutral-2.5.png,neutral-250gm,1,250 gm,
neutral,13,Neutral,#EFEBE4,,,false,/images/products/glaze-gel/gg-neutral-2.5.png,neutral-1kg,2,1 Kg,
neutral,13,Neutral,#EFEBE4,,,false,/images/products/glaze-gel/gg-neutral-2.5.png,neutral-2-5kg,3,2.5 Kg,/images/products/glaze-gel/gg-neutral-2.5.png
orange,14,Orange,#FFD4A3,,,false,/images/products/glaze-gel/gg-orange-2.5.png,orange-1kg,1,1 Kg,
orange,14,Orange,#FFD4A3,,,false,/images/products/glaze-gel/gg-orange-2.5.png,orange-2-5kg,2,2.5 Kg,/images/products/glaze-gel/gg-orange-2.5.png
