assetId,diskFolder,suggestedFilename,pixelSize,aspectRatio,format,pasteInto,pastePath
hero-product-arrangement,landing/hero,hero-product-arrangement.png,1920x1080,16:09,PNG,src/lib/assets.ts,/images/landing/hero/hero-product-arrangement.png
hero-drip-svg,landing/hero,drip.svg,vector,01:01,SVG,src/lib/assets.ts,/images/landing/hero/drip.svg
origin-goa-map,landing/sections/origin,origin-goa-map.png,800x600,04:03,PNG,src/lib/assets.ts,/images/landing/sections/origin/origin-goa-map.png
origin-farm-panel,landing/sections/origin,origin-farm-panel.png,1200x1600,03:04,PNG,src/lib/assets.ts,/images/landing/sections/origin/origin-farm-panel.png
origin-factory-panel,landing/sections/origin,factory-panel.jpg,1200x1600,03:04,JPG,src/lib/assets.ts,/images/landing/sections/origin/factory-panel.jpg
problem-fruit-mango,landing/sections/problem,fruit-mango.svg,80x80,01:01,SVG,src/lib/assets.ts,/images/landing/sections/problem/fruit-mango.svg
problem-fruit-cashew,landing/sections/problem,fruit-cashew.svg,80x80,01:01,SVG,src/lib/assets.ts,/images/landing/sections/problem/fruit-cashew.svg
problem-fruit-kokum,landing/sections/problem,fruit-kokum.svg,80x80,01:01,SVG,src/lib/assets.ts,/images/landing/sections/problem/fruit-kokum.svg
innovation-wfc-bottle,landing/sections/innovation,wfc-bottle.jpg,800x1067,03:04,JPG,src/lib/assets.ts,/images/landing/sections/innovation/wfc-bottle.jpg
founders-farm-panel,landing/sections/founders,farm-panel.jpg,1200x1600,03:04,JPG,src/lib/assets.ts,/images/landing/sections/founders/farm-panel.jpg
founders-lab-panel,landing/sections/founders,lab-panel.jpg,1200x1600,03:04,JPG,src/lib/assets.ts,/images/landing/sections/founders/lab-panel.jpg
founders-couple-photo,landing/sections/founders,couple-photo.jpg,800x1000,04:05,JPG,src/lib/assets.ts,/images/landing/sections/founders/couple-photo.jpg
dealer-india-map,landing/sections/dealer,india-map.svg,800x900,08:09,SVG,src/lib/assets.ts,/images/landing/sections/dealer/india-map.svg
enquiry-orchard-bg,landing/sections/enquiry,orchard-bg.jpg,1920x1080,16:09,JPG,src/lib/assets.ts,/images/landing/sections/enquiry/orchard-bg.jpg
enquiry-orchard-bg-mobile,landing/sections/enquiry,orchard-bg-mobile.jpg,768x1024,03:04,JPG,src/lib/assets.ts,/images/landing/sections/enquiry/orchard-bg-mobile.jpg
footer-drip-backdrop,landing/sections/footer,drip-backdrop.svg,decorative,02:01,SVG,src/lib/assets.ts,/images/landing/sections/footer/drip-backdrop.svg
category-glaze-gel,landing/categories,glaze-gel-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/glaze-gel-hero.jpg
category-fruit-filling,landing/categories,fruit-filling-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/fruit-filling-hero.jpg
category-crushes,landing/categories,crushes-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/crushes-hero.jpg
category-syrups,landing/categories,syrups-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/syrups-hero.jpg
category-fondants,landing/categories,fondants-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/fondants-hero.jpg
category-jam,landing/categories,jam-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/jam-hero.jpg
category-chocolate-sauce,landing/categories,chocolate-sauce-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/chocolate-sauce-hero.jpg
category-flavoured-water,landing/categories,flavoured-water-hero.jpg,1200x900,04:03,JPG,content/products/data/category.csv,/images/landing/categories/flavoured-water-hero.jpg
